,id,iata,icao,name,location,street_number,street,city,county,state,country_iso,country,postal_code,phone,latitude,longitude,uct,website
0,633,BEL,SBBE,Val de Cans International Airport,"Belém, Pará, Brazil",s/n,Avenida Júlio César,,Belém,Pará,BR,Brazil,66115-970,+55 91 3210-6000,-1.3820615,-48.477524,-180,http://www4.infraero.gov.br/aeroportos/aeroporto-internacional-de-belem-val-de-cans-julio-cezar-ribeiro/
0,2563,GIG,SBGL,Rio de Janeiro–Galeão International Airport,"Rio de Janeiro, Brazil",s/nº,Av. Vinte de Janeiro,,Rio de Janeiro,Rio de Janeiro,BR,Brazil,21941-900,+55 21 3004-6050,-22.805265,-43.25663,-180,http://www.riogaleao.com/
0,4500,MAO,SBEG,Eduardo Gomes International Airport,"Manaus, Amazonas, Brazil",1350,Av. Santos Dumont,,Manaus,Amazonas,BR,Brazil,69041-000,+55 92 3652-1210,-3.0358474,-60.046326,-240,http://www4.infraero.gov.br/aeroportos/aeroporto-internacional-de-manaus-eduardo-gomes/
0,7941,VCP,SBKP,Viracopos/Campinas International Airport,"São Paulo / Campinas, São Paulo, Brazil",km 66,Rodovia Santos Dumont,,Campinas,São Paulo,BR,Brazil,13055-900,+55 19 3725-5000,-23.008205,-47.13757,-180,http://www.viracopos.com/
0,953,BSB,SBBR,Brasília International Airport (Presidente J. Kubitschek Int'l Airport),"Brasília, Distrito Federal, Brazil",,Lago Sul,,Brasília,Distrito Federal,BR,Brazil,71608-900,+55 61 3364-9000,-15.869737,-47.917236,-180,http://www.bsb.aero/
0,2695,GRU,SBGR,São Paulo–Guarulhos International Airport,"São Paulo, Brazil",s/nº,Rod. Hélio Smidt,,Guarulhos,São Paulo,BR,Brazil,07190-100,+55 11 2445-2945,-23.430573,-46.47304,-180,http://www.gru.com.br/
0,6647,SCL,SCEL,Comodoro Arturo Merino Benítez International Airport,"Santiago, Chile",,Aviador David Fuentes,Pudahuel,Santiago,Región Metropolitana,CL,Chile,,+56 2 2690 1752,-33.39051,-70.79381,-180,https://www.nuevopudahuel.cl/
0,53,ACC,DGAA,Kotoka International Airport,"Accra, Ghana",,Airport Road,Accra,Accra Metropolis,Greater Accra Region,GH,Ghana,,+233 30 277 6171,5.6060953,-0.1681235,0,http://www.gacl.com.gh/
0,4308,LOS,DNMM,Murtala Muhammed International Airport,"Lagos, Nigeria",,,Lagos,,Lagos,NG,Nigeria,,+234 1 493 3385,6.5818186,3.3211348,60,http://www.faan.gov.ng/mmia/
0,7019,SSA,SBSV,Deputado Luís Eduardo Magalhães International Airport,"Salvador, Bahia, Brazil",,,,Salvador,Bahia,BR,Brazil,41520-970,+55 71 3204-1010,-12.911098,-38.33124,-180,http://www4.infraero.gov.br/aeroportos/aeroporto-internacional-de-salvador-dep-luis-eduardo-magalhaes
0,4561,MCZ,SBMO,Zumbi dos Palmares International Airport,"Maceió, Alagoas, Brazil",104,Rodovia BR,,Rio Largo,Alagoas,BR,Brazil,57100-971,+55 82 3036-5200,-9.511861,-35.793182,-180,http://www4.infraero.gov.br/
0,6335,REC,SBRF,Recife/Guararapes–Gilberto Freyre International Airport,"Recife, Pernambuco, Brazil",s/n,Praça Ministro Salgado Filho,,Recife,Pernambuco,BR,Brazil,51210-902,+55 81 3322-4188,-8.125932,-34.924015,-180,http://www4.infraero.gov.br/aeroportos/aeroporto-internacional-do-recife-guararapes-gilberto-freyre/
0,199,AJU,SBAR,Santa Maria Airport,"Aracaju, Sergipe, Brazil",3249,Terminal Drive,Santa Maria,Santa Barbara County,California,US,United States,93455,+1 805-922-1726,34.89914,-120.44778,-420,http://www.santamariaairport.com/
0,8988,NAT,SBSG,São Gonçalo do Amarante–Governador Aluízio Alves International Airport,"Natal, Rio Grande do Norte, Brazil",,,,São Gonçalo do Amarante,Rio Grande do Norte,BR,Brazil,59290-000,+55 84 3343-6060,-5.7679067,-35.364033,-180,http://www.natal.aero/
0,6028,PNZ,SBPL,Senador Nilo Coelho Airport,"Petrolina, Pernambuco, Brazil",s/n,Rodovia BR 235 - km 11,,Petrolina,Pernambuco,BR,Brazil,56313-900,+55 87 3867-9600,-9.366508,-40.566074,-180,http://www.infraero.gov.br/
0,4838,MOC,SBMK,Montes Claros/Mário Ribeiro Airport,"Montes Claros, Minas Gerais, Brazil",,Avenida Comandante João Milton,,Montes Claros,Minas Gerais,BR,Brazil,39404-844,+55 38 3229-1200,-16.704617,-43.820087,-180,http://www4.infraero.gov.br/aeroportos/aeroporto-de-montes-claros-mario-ribeiro/
0,2363,FOR,SBFZ,Pinto Martins – Fortaleza International Airport,"Fortaleza, Ceará, Brazil",,,,Fortaleza,Ceará,BR,Brazil,60741-900,+55 85 3392-1200,-3.7771554,-38.533096,-180,http://www.infraero.gov.br/index.php/br/aeroportos/ceara/aeroporto-internacional-pinto-martins.html
0,1429,CNF,SBCF,Tancredo Neves International Airport (Confins Int'l Airport),"Belo Horizonte, Minas Gerais, Brazil",s/n,LMG-800,,Confins,Minas Gerais,BR,Brazil,33500-900,+55 31 3689-2700,-19.634098,-43.965397,-180,http://www.bh-airport.com.br/
0,7994,VIX,SBVT,Eurico de Aguiar Salles Airport,"Vitória, Espírito Santo, Brazil",3800,Avenida Fernando Ferrari,,Vitória,Espírito Santo,BR,Brazil,29075-920,+55 27 3235-6300,-20.257648,-40.283535,-180,http://www.infraero.gov.br/index.php/br/aeroportos/espirito-santo/aeroporto-de-vitoria-eurico-de-aguiar-salles-vitoria-es.html
0,7151,SXO,SWFX,São Félix do Araguaia Airport,"São Félix do Araguaia, Mato Grosso, Brazil",1408,Avenida Aldenor M da Cunha,,São Félix do Araguaia,Mato Grosso,BR,Brazil,78670-000,+55 66 3522-1680,-11.632422,-50.685997,-240,
0,7348,TGQ,SWTS,Tangará da Serra Airport,"Tangará da Serra, Mato Grosso, Brazil",,,,Tangará da Serra,State of Mato Grosso,BR,Brazil,78300-000,+55 65 3311-4800,-14.657461,-57.445904,-240,http://www.tangaradaserra.mt.gov.br/
0,3420,JIA,SWJN,Juína Airport,"Juína, Mato Grosso, Brazil",,,,Juína,State of Mato Grosso,BR,Brazil,78320-000,,-11.417905,-58.708218,-240,
0,182,AIR,SSOU,Aripuanã Airport,"Aripuanã, Mato Grosso, Brazil",,Rua Beira Rio,,Colniza,Mato Grosso,BR,Brazil,78335-000,,-9.450131,-59.201378,-240,
0,1273,CGB,SBCY,Marechal Rondon International Airport,"Cuiabá, Mato Grosso, Brazil",s/n,Avenida João Ponce de Arruda,,Várzea Grande,Mato Grosso,BR,Brazil,78110-900,+55 65 3614-2500,-15.653079,-56.117268,-240,http://www4.infraero.gov.br/aeroportos/aeroporto-internacional-de-cuiaba-marechal-rondon/
0,4606,MEU,SBMD,Serra do Areão Airport,"Monte Dourado, Pará, Brazil",,,,Almeirim,State of Pará,BR,Brazil,68230-000,,-0.8882582,-52.599552,-180,
0,3301,ITB,SBIH,Itaituba Airport,"Itaituba, Pará, Brazil",,,,Itaituba,State of Pará,BR,Brazil,,,-4.245743,-56.006847,-180,
0,7054,STM,SBSN,Santarém-Maestro Wilson Fonseca Airport,"Santarém, Pará, Brazil",s/n,Praça Eduardo Gomes,,Santarém,Pará,BR,Brazil,,+55 93 3522-4328,-2.4248295,-54.786243,-180,http://www4.infraero.gov.br/aeroportos/aeroporto-de-santarem-maestro-wilson-fonseca/
0,2787,GYN,SBGO,Santa Genoveva Airport,"Goiânia, Goiás, Brazil",s/n,Alameda 4,,Goiânia,Goiás,BR,Brazil,74672-410,+55 62 3265-1500,-16.632303,-49.216347,-180,http://www4.infraero.gov.br/aeroportos/aeroporto-de-goiania-santa-genoveva/
0,901,BPG,SBBW,Barra do Garças Airport,"Barra do Garças, Mato Grosso, Brazil",,,,Barra do Garças,Mato Grosso,BR,Brazil,78600-000,+55 66 98404-7588,-15.858338,-52.39055,-240,http://www.voeazul.com.br/
0,1041,BVS,SNVS,Breves Airport,"Breves, Pará, Brazil",,,,,,,,,,0,0,0,
0,5922,PIN,SWPI,Júlio Belém Airport,"Parintins, Amazonas, Brazil",1,Estr. Odovaldo Novo,,Parintins,Amazonas,BR,Brazil,69152-470,+55 92 3533-2700,-2.669512,-56.76967,-240,
0,1279,CGH,SBSP,São Paulo–Congonhas Airport,"São Paulo, São Paulo, Brazil",s/nº,Avenida Washington Luís,,São Paulo,São Paulo,BR,Brazil,04626-911,+55 11 5090-9000,-23.627325,-46.656586,-180,http://www.infraero.com.br/index.php/br/aeroportos/sao-paulo/aeroporto-de-sao-paulo-congonhas.html
0,6679,SDU,SBRJ,Santos Dumont Airport,"Rio de Janeiro, Rio de Janeiro, Brazil",s/n,Praça Senador Salgado Filho,,Rio de Janeiro,Rio de Janeiro,BR,Brazil,20021-340,+55 21 3814-7070,-22.911144,-43.164875,-180,http://www4.infraero.gov.br/aeroportos/aeroporto-do-rio-de-janeiro-santos-dumont/
0,4586,MEA,SBME,Benedito Lacerda Airport,"Macaé, Rio de Janeiro, Brazil",,,,,,,,,,0,0,0,
0,1158,CAW,SBCP,Bartolomeu Lysandro Airport,"Campos dos Goytacazes, Rio de Janeiro, Brazil",36-44,Estrada Brejo Grande,,Campos dos Goytacazes,Rio de Janeiro,BR,Brazil,28093,+55 22 2733-5022,-21.701117,-41.308186,-180,http://www.infraero.gov.br/
0,1156,CAU,SNRU,Caruaru Airport (Oscar Laranjeiras Airport),"Caruaru, Pernambuco, Brazil",,Avenida Dr Oscár Laranjeira neto,,Caruaru,Pernambuco,BR,Brazil,,,-8.282731,-36.012905,-180,
0,6029,POA,SBPA,Salgado Filho International Airport,"Porto Alegre, Rio Grande do Sul, Brazil",,,,Porto Alegre,State of Rio Grande do Sul,BR,Brazil,,+55 51 3358-2000,-29.993473,-51.17538,-180,http://www4.infraero.gov.br/aeroportos/aeroporto-internacional-de-porto-alegre-salgado-filho/
0,2754,GUZ,SNGA,Guarapari Airport,"Guarapari, Espírito Santo, Brazil",187,Avenida Padre José Anchieta,,Guarapari,Espírito Santo,BR,Brazil,29215-250,+55 27 3361-2813,-20.647001,-40.490875,-180,
0,4157,LGG,EBLG,Liège Airport,"Liège, Belgium",,Rue de l’Aéroport,Grâce-Hollogne,Liège,Wallonie,BE,Belgium,4460,+32 4 234 84 11,50.64116,5.4479117,120,http://www.liegeairport.com/
0,4424,LUX,ELLX,Luxembourg Findel Airport,"Luxembourg, Luxembourg",,,Luxembourg City,Luxembourg,Luxembourg District,LU,Luxembourg,2987,+352 24 640,49.6289,6.2147446,120,http://www.lux-airport.lu/
0,1857,DOH,OTHH,Hamad International Airport,"Doha, Qatar",,,Doha,,Doha,QA,Qatar,,+974 4010 6666,25.260595,51.613766,180,http://www.dohahamadairport.com/
0,393,ASU,SGAS,Silvio Pettirossi International Airport,"Asunción, Paraguay",,Autopista Silvio Pettisossi,Luque,,Departamento Central,PY,Paraguay,,+595 21 688 2000,-25.241512,-57.514183,-180,http://www.dinac.gov.py/v2/index.php?option=com_k2&view=itemlist&task=category&id=49:aeropuerto-internacional-silvio-pettirossi&Itemid=205
0,1467,COR,SACO,Ingeniero Aeronáutico Ambrosio L.V. Taravella International Airport (Pajas Blancas),"Córdoba, Córdoba, Argentina",,,ICAO,,Córdoba,AR,Argentina,,+54 351 475-0881,-31.315437,-64.21232,-180,http://www.aa2000.com.ar/
0,4489,MAD,LEMD,Adolfo Suárez Madrid–Barajas Airport,"Madrid, Spain",s/n,Avenida de la Hispanidad,Madrid,Madrid,Comunidad de Madrid,ES,Spain,28042,+34 913 21 10 00,40.498333,-3.567598,120,http://www.aena.es/es/aeropuerto-madrid-barajas/index.html
